Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
0.77,0,0.789,0.789,0.761,0.789,0.761,0,0,0,0,9.186,165.559,165.559,"98,415,950"
0.78,0,0.789,0.789,0.761,0.789,0.761,0,0,0,0,9.186,165.559,165.559,"99,694,080"
0.79,0,0.789,0.789,0.761,0.789,0.761,0,0,0,0,9.186,165.559,165.559,"100,972,200"
0.8,0,0.789,0.789,0.76,0.789,0.76,0,0,0,0,9.186,165.559,165.559,"102,250,300"
0.81,0,0.794,0.794,0.765,0.794,0.765,0,0,0,0,9.186,165.559,165.559,"103,528,500"
0.82,0,0.799,0.799,0.77,0.799,0.77,0,0,0,0,9.186,165.559,165.559,"104,806,600"
0.83,0,0.805,0.805,0.775,0.805,0.775,0,0,0,0,9.186,165.559,165.559,"106,084,700"
0.84,0,0.81,0.81,0.78,0.81,0.78,0,0,0,0,9.186,165.559,165.559,"107,362,900"
0.85,0,0.815,0.815,0.785,0.815,0.785,0,0,0,0,9.186,165.559,165.559,"108,641,000"
0.86,0,0.821,0.821,0.79,0.821,0.79,0,0,0,0,9.186,165.559,165.559,"109,919,100"
0.87,0,0.826,0.826,0.795,0.826,0.795,0,0,0,0,9.186,165.559,165.559,"111,197,200"
0.88,0,0.831,0.831,0.8,0.831,0.8,0,0,0,0,9.186,165.559,165.559,"112,475,400"
0.89,0,0.837,0.837,0.805,0.837,0.805,0,0,0,0,9.186,165.559,165.559,"113,753,500"
0.9,0,0.842,0.842,0.81,0.842,0.81,0,0,0,0,9.186,165.559,165.559,"115,031,600"
0.91,0,0.848,0.848,0.815,0.848,0.815,0,0,0,0,9.571,166.257,165.461,"116,309,800"
0.92,0,0.865,0.865,0.832,0.865,0.832,0,0,0,0,9.956,166.956,165.363,"117,587,900"
0.93,0,0.887,0.887,0.852,0.887,0.852,0,0,0,0,10.341,167.654,165.265,"118,866,000"
0.94,0,0.905,0.905,0.868,0.905,0.868,0,0,0,0,10.726,168.352,165.167,"120,144,200"
0.95,0,0.923,0.923,0.885,0.923,0.885,0,0,0,0,11.11,169.05,165.07,"121,422,300"
0.96,0,0.941,0.941,0.901,0.941,0.901,0,0,0,0,11.495,169.749,164.972,"122,700,400"
0.97,0,0.959,0.959,0.917,0.959,0.917,0,0,0,0,11.88,170.447,164.874,"123,978,500"
0.98,0,0.978,0.978,0.934,0.978,0.934,0,0,0,0,12.265,171.145,164.776,"125,256,700"
0.99,0,0.996,0.996,0.95,0.996,0.95,0,0,0,0,12.649,171.843,164.678,"126,534,800"
1,0,1.014,1.014,0.966,1.014,0.966,0,0,0,0,13.034,172.542,164.58,"127,812,900"
1.01,0,1.032,1.032,0.982,1.032,0.982,0,0,0,0,13.419,173.24,164.482,"129,091,100"
1.02,0,1.05,1.05,0.999,1.05,0.999,0,0,0,0,13.804,173.938,164.384,"130,369,200"
1.03,0,1.068,1.068,1.015,1.068,1.015,0,0,0,0,14.189,174.636,164.287,"131,647,300"
1.04,0,1.086,1.086,1.031,1.086,1.031,0,0,0,0,14.573,175.335,164.189,"132,925,400"
1.05,0,1.104,1.104,1.048,1.104,1.048,0,0,0,0,14.958,176.033,164.091,"134,203,600"
1.06,0,1.101,1.101,1.044,1.101,1.044,0,0,0,0,15.022,176.223,164.295,"135,481,700"
1.07,0,1.098,1.098,1.041,1.098,1.041,0,0,0,0,15.081,176.398,164.484,"136,759,800"
1.08,0,1.094,1.094,1.038,1.094,1.038,0,0,0,0,15.136,176.561,164.659,"138,038,000"
1.09,0,1.091,1.091,1.035,1.091,1.035,0,0,0,0,15.188,176.714,164.823,"139,316,100"
1.1,0,1.088,1.088,1.032,1.088,1.032,0,0,0,0,15.238,176.858,164.979,"140,594,200"
1.11,0,1.085,1.085,1.029,1.085,1.029,0,0,0,0,15.286,176.995,165.128,"141,872,400"
1.12,0,1.081,1.081,1.027,1.081,1.027,0,0,0,0,15.331,177.126,165.27,"143,150,500"
1.13,0,1.078,1.078,1.024,1.078,1.024,0,0,0,0,15.376,177.252,165.406,"144,428,600"
1.14,0,1.075,1.075,1.021,1.075,1.021,0,0,0,0,15.418,177.374,165.538,"145,706,700"
1.15,0,1.072,1.072,1.018,1.072,1.018,0,0,0,0,15.46,177.491,165.665,"146,984,900"
1.16,0,1.069,1.069,1.015,1.069,1.015,0,0,0,0,15.501,177.604,165.788,"148,263,000"
1.17,0,1.065,1.065,1.011,1.065,1.011,0,0,0,0,15.542,177.687,165.888,"149,541,100"
1.18,0,1.061,1.061,1.007,1.061,1.007,0,0,0,0,15.586,177.725,165.952,"150,819,200"
1.19,0,1.057,1.057,1.003,1.057,1.003,0,0,0,0,15.629,177.762,166.015,"152,097,400"
1.2,0,1.052,1.052,0.998,1.052,0.998,0,0,0,0,15.671,177.799,166.076,"153,375,500"
1.21,0,1.047,1.047,0.994,1.047,0.994,0,0,0,0,15.66,177.708,165.993,"154,653,600"
1.22,0,1.042,1.042,0.989,1.042,0.989,0,0,0,0,15.636,177.59,165.88,"155,931,800"
1.23,0,1.037,1.037,0.984,1.037,0.984,0,0,0,0,15.613,177.474,165.767,"157,209,900"
1.24,0,1.032,1.032,0.979,1.032,0.979,0,0,0,0,15.59,177.359,165.657,"158,488,000"
1.25,0,1.027,1.027,0.974,1.027,0.974,0,0,0,0,15.568,177.245,165.547,"159,766,200"
1.26,0,1.023,1.023,0.969,1.023,0.969,0,0,0,0,15.545,177.133,165.439,"161,044,300"
1.27,0,1.018,1.018,0.965,1.018,0.965,0,0,0,0,15.524,177.021,165.331,"162,322,400"
1.28,0,1.014,1.014,0.96,1.014,0.96,0,0,0,0,15.502,176.911,165.225,"163,600,500"
1.29,0,1.009,1.009,0.956,1.009,0.956,0,0,0,0,15.481,176.801,165.12,"164,878,700"
1.3,0,1.005,1.005,0.952,1.005,0.952,0,0,0,0,15.46,176.692,165.015,"166,156,800"
1.31,0,1,1,0.947,1,0.947,0,0,0,0,15.439,176.584,164.911,"167,434,900"
1.32,0,0.996,0.996,0.943,0.996,0.943,0,0,0,0,15.418,176.477,164.809,"168,713,100"
1.33,0,0.992,0.992,0.939,0.992,0.939,0,0,0,0,15.398,176.371,164.707,"169,991,200"
1.34,0,0.988,0.988,0.935,0.988,0.935,0,0,0,0,15.378,176.265,164.605,"171,269,300"
