Mach,Alpha,CD,CD power off,Cd power on,CA power off,CaA power on,CL,CN,CN Potential,CN Viscous,CNalpha(0 to 4 deg/ rad),CP,CP(0 to 4 deg),Reynolds Number 
1.92,0,0.842,0.842,0.788,0.842,0.788,0,0,0,0,13.864,170.484,160.851,"245,400,800"
1.93,0,0.84,0.84,0.787,0.84,0.787,0,0,0,0,13.837,170.385,160.794,"246,678,900"
1.94,0,0.839,0.839,0.786,0.839,0.786,0,0,0,0,13.811,170.285,160.736,"247,957,100"
1.95,0,0.837,0.837,0.784,0.837,0.784,0,0,0,0,13.787,170.19,160.683,"249,235,200"
1.96,0,0.834,0.834,0.781,0.834,0.781,0,0,0,0,13.763,170.097,160.633,"250,513,300"
1.97,0,0.832,0.832,0.779,0.832,0.779,0,0,0,0,13.738,170.002,160.58,"251,791,500"
1.98,0,0.829,0.829,0.776,0.829,0.776,0,0,0,0,13.713,169.905,160.525,"253,069,600"
1.99,0,0.827,0.827,0.773,0.827,0.773,0,0,0,0,13.688,169.806,160.469,"254,347,700"
2,0,0.824,0.824,0.77,0.824,0.77,0,0,0,0,13.662,169.706,160.411,"255,625,900"
2.01,0,0.822,0.822,0.768,0.822,0.768,0,0,0,0,13.636,169.604,160.351,"256,904,000"
2.02,0,0.819,0.819,0.765,0.819,0.765,0,0,0,0,13.609,169.501,160.29,"258,182,100"
2.03,0,0.817,0.817,0.763,0.817,0.763,0,0,0,0,13.582,169.396,160.228,"259,460,200"
2.04,0,0.815,0.815,0.76,0.815,0.76,0,0,0,0,13.555,169.289,160.164,"260,738,400"
2.05,0,0.812,0.812,0.758,0.812,0.758,0,0,0,0,13.527,169.181,160.098,"262,016,500"
2.06,0,0.81,0.81,0.756,0.81,0.756,0,0,0,0,13.5,169.072,160.032,"263,294,600"
2.07,0,0.808,0.808,0.753,0.808,0.753,0,0,0,0,13.472,168.962,159.964,"264,572,800"
2.08,0,0.805,0.805,0.751,0.805,0.751,0,0,0,0,13.443,168.85,159.895,"265,850,900"
2.09,0,0.803,0.803,0.748,0.803,0.748,0,0,0,0,13.415,168.737,159.825,"267,129,000"
2.1,0,0.801,0.801,0.746,0.801,0.746,0,0,0,0,13.386,168.623,159.753,"268,407,100"
2.11,0,0.799,0.799,0.744,0.799,0.744,0,0,0,0,13.357,168.508,159.681,"269,685,300"
2.12,0,0.797,0.797,0.741,0.797,0.741,0,0,0,0,13.328,168.391,159.607,"270,963,400"
2.13,0,0.794,0.794,0.739,0.794,0.739,0,0,0,0,13.299,168.274,159.533,"272,241,600"
2.14,0,0.792,0.792,0.737,0.792,0.737,0,0,0,0,13.27,168.156,159.458,"273,519,700"
2.15,0,0.79,0.79,0.735,0.79,0.735,0,0,0,0,13.24,168.036,159.381,"274,797,800"
2.16,0,0.788,0.788,0.732,0.788,0.732,0,0,0,0,13.211,167.916,159.304,"276,075,900"
2.17,0,0.786,0.786,0.73,0.786,0.73,0,0,0,0,13.181,167.795,159.226,"277,354,100"
2.18,0,0.784,0.784,0.728,0.784,0.728,0,0,0,0,13.151,167.673,159.147,"278,632,200"
2.19,0,0.782,0.782,0.726,0.782,0.726,0,0,0,0,13.121,167.55,159.068,"279,910,300"
2.2,0,0.78,0.78,0.723,0.78,0.723,0,0,0,0,13.091,167.426,158.988,"281,188,400"
2.21,0,0.778,0.778,0.721,0.778,0.721,0,0,0,0,13.061,167.302,158.906,"282,466,600"
2.22,0,0.776,0.776,0.719,0.776,0.719,0,0,0,0,13.03,167.176,158.825,"283,744,700"
2.23,0,0.774,0.774,0.717,0.774,0.717,0,0,0,0,13,167.05,158.742,"285,022,800"
2.24,0,0.772,0.772,0.715,0.772,0.715,0,0,0,0,12.97,166.926,158.661,"286,301,000"
2.25,0,0.77,0.77,0.713,0.77,0.713,0,0,0,0,12.939,166.806,158.584,"287,579,100"
2.26,0,0.768,0.768,0.711,0.768,0.711,0,0,0,0,12.909,166.685,158.505,"288,857,200"
2.27,0,0.766,0.766,0.708,0.766,0.708,0,0,0,0,12.878,166.563,158.426,"290,135,400"
2.28,0,0.764,0.764,0.706,0.764,0.706,0,0,0,0,12.848,166.44,158.347,"291,413,500"
2.29,0,0.762,0.762,0.704,0.762,0.704,0,0,0,0,12.817,166.317,158.267,"292,691,600"
